director_id,movie_count,movie_ids
nm0273084,5772,"tt0138222,tt0138256,tt0138274,tt0138278,tt0140769,tt0142049,tt0143026,tt0145602,tt0145612,tt0147796,tt0149450,tt0155443,tt0155444,tt0202726,tt0202770,tt0208640,tt0209531,tt0209564,tt0209587,tt0209610"
nm10604490,5598,"tt0809387,tt0853071,tt10001648,tt10001660,tt10001670,tt10001672,tt10001674,tt10001676,tt10001678,tt10001680,tt10001682,tt10001684,tt10001686,tt10001688,tt10001690,tt10001692,tt10001694,tt10001696,tt10001698,tt10001700"
nm6908650,5571,"tt10317726,tt10321818,tt10321820,tt10321824,tt10321826,tt10321828,tt10321830,tt10321832,tt10321834,tt10321836,tt10321840,tt10321844,tt10321846,tt10321848,tt10321850,tt10321852,tt10321854,tt10321856,tt10321864,tt10321866"
nm0737880,5559,"tt0091643,tt0211767,tt0214363,tt0217193,tt0219434,tt0224856,tt0261478,tt0309194,tt0309211,tt0358792,tt0358797,tt0358839,tt0370101,tt0370149,tt0370168,tt0374384,tt0413592,tt0426794,tt0439344,tt0495927"
nm0107757,5514,"tt0068120,tt0069608,tt0072541,tt0085056,tt0090409,tt0094460,tt0098860,tt0127991,tt0135081,tt0179566,tt0194598,tt0198186,tt0198193,tt0198255,tt0283740,tt0294113,tt0315108,tt0536431,tt0542307,tt0542308"
nm7478784,5481,"tt10199440,tt10199478,tt10199512,tt10199516,tt10199522,tt10209922,tt10441762,tt10441772,tt10441784,tt10441792,tt10441794,tt10731862,tt10910510,tt11034420,tt11760732,tt11777306,tt11777310,tt11777312,tt11777316,tt11777318"
nm7931479,5411,"tt10171722,tt11547070,tt12665086,tt17013904,tt17014026,tt17014034,tt17278512,tt17278516,tt17278518,tt17278520,tt17278522,tt17278524,tt17278526,tt17278528,tt17278532,tt17278534,tt17278536,tt17278538,tt17278540,tt17278542"
nm0276899,5356,"tt0108731,tt0138262,tt0139095,tt0142049,tt0144066,tt0145601,tt0145615,tt0149417,tt0149429,tt0149440,tt0154055,tt0154075,tt0162820,tt0170925,tt0185823,tt0186486,tt0190292,tt0200513,tt0205639,tt0205651"
nm0600353,5350,"tt0042104,tt0046641,tt0056758,tt0063879,tt0070658,tt0072554,tt0202206,tt0272754,tt0298160,tt0312084,tt0504299,tt0665814,tt0825210,tt0940944,tt10518788,tt10524060,tt10524062,tt10524064,tt10524066,tt10524070"
nm3288727,5324,"tt10089244,tt10089246,tt10089250,tt10089252,tt10089256,tt10089258,tt10089262,tt10089264,tt10089274,tt10089278,tt10089280,tt10089282,tt10089284,tt10089450,tt10089452,tt10089454,tt10089462,tt10089464,tt10089466,tt10089468"
nm0096539,5242,"tt0118449,tt0120155,tt0154067,tt0205974,tt0242208,tt0374586,tt0391666,tt0404677,tt0439959,tt0482140,tt0487863,tt0488463,tt0489893,tt0495650,tt0518109,tt0518110,tt0518111,tt0518112,tt0518113,tt0518114"
nm9506110,5118,"tt10128100,tt10162522,tt10162658,tt10497508,tt10502784,tt10502786,tt10502788,tt10502790,tt10502792,tt10502794,tt10502796,tt10502798,tt10502802,tt10502804,tt10502806,tt10502808,tt10502810,tt10502812,tt10502814,tt10502816"
nm0089368,5098,"tt0138218,tt0138236,tt0138237,tt0138251,tt0138258,tt0144724,tt0147784,tt0149417,tt0149440,tt0149462,tt0154086,tt0170888,tt0170925,tt0205648,tt0208619,tt0209531,tt0209598,tt0209605,tt0209617,tt0209658"
nm0100189,5097,"tt0138267,tt0139795,tt0140744,tt0142042,tt0142051,tt0144724,tt0149443,tt0201379,tt0205648,tt0205651,tt0207917,tt0209541,tt0209558,tt0209562,tt0209591,tt0209686,tt0209716,tt0209733,tt0209767,tt0209808"
nm0474848,5089,"tt0391547,tt0798761,tt10083940,tt10083942,tt10083944,tt10083950,tt10083956,tt10083960,tt10083962,tt10083966,tt10083970,tt10083974,tt10083976,tt10083978,tt10083982,tt10083988,tt10083990,tt10083992,tt10083994,tt10083996"
nm11057879,5046,"tt11120196,tt11125492,tt11125496,tt11125578,tt11125580,tt11125584,tt11125586,tt11125588,tt11125590,tt11125592,tt11125594,tt11125596,tt11125598,tt11125600,tt11125602,tt11128534,tt11128536,tt11128538,tt11128540,tt11128542"
nm8706928,5011,"tt10078300,tt10078318,tt10078320,tt10078324,tt10078328,tt10078330,tt10078332,tt10078334,tt10078338,tt10078340,tt10078342,tt10078344,tt10078346,tt10078348,tt10078350,tt10078352,tt10078354,tt10078356,tt10078358,tt10078360"
nm0887561,5001,"tt0128176,tt11356790,tt11361360,tt11361362,tt11361364,tt11361368,tt11361370,tt11361372,tt11361378,tt11361386,tt11361390,tt11361392,tt11361394,tt11361396,tt11361398,tt11361400,tt11361406,tt11361408,tt11361412,tt11361414"
nm8408311,4921,"tt0278212,tt0401949,tt10109510,tt10109520,tt10109522,tt10109530,tt10109532,tt10109534,tt10109536,tt10109538,tt10109540,tt10109542,tt10109544,tt10109546,tt10109548,tt10109552,tt10109554,tt10109556,tt10109558,tt10109560"
